strategy,type,entry_time,entry_price,exit_time,exit_price,sl,tp,pnl,return_pct,exit_reason
MOMENTUM (ADX+DI),BUY,2024-01-02 15:00:00.062,2070.565,2024-01-02 15:37:13.255,2060.1298081600853,2060.1298081600853,2091.4353836798296,-10.43519183991475,-0.10435191839914752,SL
MOMENTUM (ADX+DI),SELL,2024-01-03 14:00:00.071,2040.945,2024-01-05 15:00:00.410,2051.8158354491748,2051.8158354491748,2019.20332910165,-10.87083544917482,-0.1087083544917482,SL
MOMENTUM (ADX+DI),SELL,2024-01-08 14:00:00.061,2018.905,2024-01-08 16:00:00.036,2030.3473253547716,2030.3473253547716,1996.020349290457,-11.442325354771583,-0.11442325354771583,SL
MOMENTUM (ADX+DI),SELL,2024-01-08 17:00:00.163,2032.155,2024-01-11 13:30:00.671,2045.5529243775838,2045.5529243775838,2005.3591512448322,-13.397924377583877,-0.13397924377583878,SL
MOMENTUM (ADX+DI),BUY,2024-01-12 04:00:00.058,2034.125,2024-01-12 14:00:00.313,2055.8049286416226,2023.2850356791887,2055.8049286416226,21.67992864162261,0.2167992864162261,TP
MOMENTUM (ADX+DI),BUY,2024-01-12 19:00:00.079,2047.665,2024-01-16 13:14:09.181,2034.3090778116969,2034.3090778116969,2074.376844376606,-13.355922188303111,-0.1335592218830311,SL
MOMENTUM (ADX+DI),SELL,2024-01-16 13:14:09.232,2034.095,2024-01-16 13:39:54.518,2041.2868543136515,2041.2868543136515,2019.7112913726971,-7.191854313651447,-0.07191854313651447,SL
MOMENTUM (ADX+DI),SELL,2024-01-16 14:00:00.034,2037.475,2024-01-17 14:11:29.998,2017.7344525230042,2047.3452737384978,2017.7344525230042,19.740547476995744,0.19740547476995743,TP
MOMENTUM (ADX+DI),SELL,2024-01-17 14:11:30.049,2017.135,2024-01-19 08:02:47.750,2028.3062637701878,2028.3062637701878,1994.7924724596244,-11.171263770187807,-0.11171263770187807,SL
MOMENTUM (ADX+DI),BUY,2024-01-19 11:00:00.155,2030.655,2024-01-19 15:13:02.248,2024.2132139620821,2024.2132139620821,2043.5385720758356,-6.441786037917836,-0.06441786037917836,SL
MOMENTUM (ADX+DI),BUY,2024-01-19 18:00:00.544,2029.285,2024-01-22 14:44:07.159,2018.952292012729,2018.952292012729,2049.950415974542,-10.332707987271078,-0.10332707987271078,SL
MOMENTUM (ADX+DI),BUY,2024-01-24 14:00:00.059,2034.222,2024-01-24 14:39:31.221,2026.6594419836238,2026.6594419836238,2049.347116032752,-7.562558016376215,-0.07562558016376214,SL
MOMENTUM (ADX+DI),BUY,2024-01-29 08:00:00.088,2031.535,2024-01-29 14:40:50.948,2024.2169697243369,2024.2169697243369,2046.1710605513265,-7.3180302756632045,-0.07318030275663205,SL
MOMENTUM (ADX+DI),BUY,2024-01-29 14:40:50.999,2024.502,2024-01-30 14:12:55.334,2041.1001832071274,2016.2029083964362,2041.1001832071274,16.598183207127477,0.16598183207127476,TP
MOMENTUM (ADX+DI),BUY,2024-01-30 14:12:55.637,2041.505,2024-01-30 15:15:47.900,2033.9442420412925,2033.9442420412925,2056.6265159174154,-7.560757958707654,-0.07560757958707653,SL
MOMENTUM (ADX+DI),BUY,2024-01-30 15:15:47.950,2034.315,2024-01-31 14:46:51.492,2053.41658046176,2024.76420976912,2053.41658046176,19.101580461760022,0.1910158046176002,TP
MOMENTUM (ADX+DI),BUY,2024-01-31 14:46:51.544,2053.782,2024-01-31 18:41:35.583,2047.0063573070736,2047.0063573070736,2067.3332853858533,-6.775642692926567,-0.06775642692926567,SL
MOMENTUM (ADX+DI),SELL,2024-01-31 21:00:00.025,2034.755,2024-01-31 23:59:58.924,2035.132,2048.321885127509,2007.6212297449817,-0.3769999999999527,-0.003769999999999527,END
