strategy,type,entry_time,entry_price,exit_time,exit_price,sl,tp,pnl,return_pct,exit_reason
TREND (Donchian+EMA),SELL,2024-01-03 12:00:00.066,2047.505,2024-01-05 13:30:11.273,2029.1393434785284,2056.687828260736,2029.1393434785284,18.365656521471692,0.18365656521471693,TP
TREND (Donchian+EMA),SELL,2024-01-08 12:00:00.057,2019.958,2024-01-08 16:00:00.036,2030.8382556498439,2030.8382556498439,1998.1974887003125,-10.880255649843775,-0.10880255649843774,SL
TREND (Donchian+EMA),SELL,2024-01-10 07:00:00.214,2024.435,2024-01-10 07:42:28.794,2031.5141395261135,2031.5141395261135,2010.2767209477731,-7.079139526113522,-0.07079139526113522,SL
TREND (Donchian+EMA),SELL,2024-01-17 06:00:00.134,2020.565,2024-01-19 08:58:27.286,2030.1896283467856,2030.1896283467856,2001.315743306429,-9.624628346785585,-0.09624628346785584,SL
TREND (Donchian+EMA),SELL,2024-01-22 07:00:00.106,2020.805,2024-01-22 12:20:56.274,2027.8305815101148,2027.8305815101148,2006.7538369797705,-7.025581510114762,-0.07025581510114762,SL
TREND (Donchian+EMA),SELL,2024-01-24 16:00:00.134,2015.215,2024-01-26 13:30:09.691,2026.3628946878557,2026.3628946878557,1992.919210624288,-11.147894687855796,-0.11147894687855797,SL
TREND (Donchian+EMA),BUY,2024-01-30 08:00:00.141,2038.105,2024-01-30 15:26:32.915,2029.8990174464323,2029.8990174464323,2054.5169651071355,-8.205982553567765,-0.08205982553567764,SL
TREND (Donchian+EMA),BUY,2024-01-31 15:00:00.079,2051.755,2024-01-31 19:00:07.511,2042.0081096661304,2042.0081096661304,2071.2487806677395,-9.746890333869715,-0.09746890333869715,SL
